#Digilent WaveForms Scope FFT
#Device Name: Discovery2
#Serial Number: SN:210321B02866
#Date Time: 2021-03-17 15:49:54.296

Frequency (Hz),Channel 1 (V),Channel 2 (V)
507.8125,5.231708332427481e-5,5.024584533946845e-5
517.578125,0.00020199082082091407,0.00022776040618474112
527.34375,0.00035653607057197656,0.000412615536224724
537.109375,0.00038579502659807533,0.0004523865226182609
546.875,0.00037293759357106995,0.00044015488564247835
556.640625,0.0002829647054677256,0.00033763465239137114
566.40625,9.971996278750944e-5,0.00012641092509231507
576.171875,1.4644412784707942e-5,2.7515639824153433e-5
585.9375,4.2264539964831285e-5,5.3936417590727236e-5
595.703125,4.512689336383225e-5,5.5791160141362703e-5
605.46875,4.339594631293983e-5,5.150536900315758e-5
615.234375,3.496296276462035e-5,4.0370979161606113e-5
625,1.6324582528169495e-5,2.2060818271668613e-5
634.765625,4.899580374875312e-5,6.073712054013364e-5
644.53125,9.953655852815605e-5,0.00011886733888260149
654.296875,0.00011364177544254007,0.0001357063658536592
664.0625,0.00010756039705034122,0.00012926931001244798
673.828125,8.785720351549514e-5,0.00010796530817835301
683.59375,3.57541384365239e-5,4.859193871250073e-5
693.359375,4.658802780705236e-6,7.364961982808077e-6
703.125,7.743808100856337e-6,1.8794397578224602e-6
712.890625,1.5668758358355297e-6,5.973574019924687e-6
722.65625,4.753371239282779e-6,1.118558080891588e-5
732.421875,7.851532946220653e-6,6.434601514786006e-6
742.1875,8.665057856706735e-6,1.1299195969228846e-5
751.953125,1.244419210962701e-5,3.0607000288610803e-5
761.71875,3.493998741984279e-5,6.298948616005459e-5
771.484375,4.9420757029966794e-5,8.031898029281816e-5
781.25,5.125980594466343e-5,7.713871253612543e-5
791.015625,5.420269735746494e-5,7.273543119836614e-5
800.78125,4.1512660274435494e-5,4.946568882651406e-5
810.546875,2.921720934795598e-5,2.097739320827511e-5
820.3125,3.979058215011286e-5,3.062924940802613e-5
830.078125,5.028041962340359e-5,4.986997759910108e-5
839.84375,4.965519640585005e-5,5.43860871818995e-5
849.609375,4.398526069401171e-5,4.894935673191012e-5
859.375,2.8969755029320613e-5,2.9512268402919036e-5
869.140625,7.245008952689533e-6,7.535842216488563e-6
878.90625,5.965194136150069e-5,6.891163045816527e-5
888.671875,0.00010088492920495284,0.00011950828948926858
898.4375,0.00010304919721342797,0.00012324971835351114
908.203125,9.669335305635415e-5,0.00011704603284427712
917.96875,7.148157236623273e-5,8.40356359781359e-5
927.734375,2.739947053905052e-5,2.753188895892727e-5
937.5,6.091928318315963e-6,1.761554843778102e-5
947.265625,1.7407149153552334e-5,2.6828075321971186e-5
957.03125,2.1515196606183926e-5,2.5135782072950043e-5
966.796875,2.1346839737934142e-5,1.8558465151386007e-5
976.5625,1.8805424485473942e-5,1.2543623812226628e-5
986.328125,9.375538889126191e-6,6.487862456142044e-6
996.09375,2.5595953246014043e-5,2.9375974073496764e-5
1005.859375,5.973750804839917e-5,6.852354312179783e-5
1015.625,6.957519742234149e-5,7.893001588160181e-5
1025.390625,7.08614273008634e-5,7.862702538688688e-5
1035.15625,6.049499487136564e-5,6.34166306462068e-5
1044.921875,2.955104688190995e-5,2.2022705671290198e-5
1054.6875,1.7639878352860895e-5,1.086018545949429e-5
1064.453125,2.1177384338186752e-5,2.12184488176713e-5
1074.21875,2.5341579449084896e-5,2.9598125971433355e-5
1083.984375,2.5654149420054866e-5,3.2809161736948545e-5
1093.75,2.137230582319388e-5,3.0894447313721056e-5
1103.515625,1.553212225679788e-5,2.2875679719389884e-5
1113.28125,1.2938855259412938e-5,1.4055942718385971e-5
1123.046875,2.993533469486222e-5,3.2299572633175636e-5
1132.8125,3.7209717608196196e-5,4.312466789108609e-5
1142.578125,3.496361749621838e-5,4.2344335659111935e-5
